season,date,team,rival_team,home_adv,last_season_team,last_season_rival,pct_wins,avg_goals_scored,avg_goals_received,goal_difference,pct_wins_rival,avg_goals_scored_rival,avg_goals_received_rival,goal_difference_rival,pct_wins_vs_rival,avg_goals_scored_vs_rival,avg_goals_received_vs_rival,goal_difference_vs_rival,AvgH,AvgD,AvgA,goals_team,goals_rival,result
2010-11,2010-11-21,Sociedad,Ath Madrid,1,21,9,0.4,1.3,1.4,-1,0.4,1.2,1.2,0,0.4,1.2,1.0,1,2.76,3.29,2.49,2,4,-1
2010-11,2010-11-22,Getafe,Zaragoza,1,6,14,0.4,1.4,1.5,-1,0.1,1.1,1.9,-8,0.0,0.6,1.6,-5,1.82,3.44,4.41,1,1,0
2010-11,2010-11-27,Ath Madrid,Espanol,1,9,11,0.4,1.4,1.3,1,0.6,0.9,0.8,1,0.8,2.4,1.4,5,1.66,3.61,5.27,2,3,-1
2010-11,2010-11-27,Sevilla,Getafe,1,4,6,0.5,1.5,1.8,-3,0.3,1.1,1.5,-4,0.2,1.6,2.0,-2,1.64,3.76,5.11,1,3,-1
2010-11,2010-11-27,Zaragoza,Villarreal,1,14,7,0.1,0.9,1.5,-6,0.6,1.9,1.1,8,0.4,2.0,2.0,0,3.17,3.26,2.21,0,3,-1
2010-11,2010-11-28,Ath Bilbao,Osasuna,1,8,12,0.4,1.8,2.1,-3,0.4,1.2,1.2,0,0.4,1.0,0.8,1,1.71,3.56,4.74,1,0,1
2010-11,2010-11-28,Hercules,Levante,1,21,21,0.2,0.9,1.8,-9,0.3,1.1,1.2,-1,0.0,0.0,0.0,0,1.86,3.46,4.06,3,1,1
2010-11,2010-11-28,Mallorca,Malaga,1,5,17,0.5,1.3,1.1,2,0.2,0.9,1.9,-10,0.2,1.4,1.2,1,1.73,3.56,4.55,2,0,1
2010-11,2010-11-28,Santander,La Coruna,1,16,10,0.3,1.0,1.5,-5,0.3,1.1,1.5,-4,0.0,1.0,2.0,-5,2.21,3.23,3.22,1,0,1
2010-11,2010-11-28,Sp Gijon,Sociedad,1,15,21,0.1,0.8,1.4,-6,0.4,1.3,1.6,-3,0.0,0.0,0.0,0,2.09,3.26,3.46,1,3,-1
2010-11,2010-11-28,Valencia,Almeria,1,3,13,0.4,1.3,1.1,2,0.1,0.6,1.6,-10,0.6,2.0,1.0,5,1.38,4.47,8.0,2,1,1
2010-11,2010-11-29,Barcelona,Real Madrid,1,1,2,0.9,3.0,0.6,24,0.9,3.2,0.6,26,0.8,2.4,1.2,6,2.07,3.46,3.43,5,0,1
2010-11,2010-12-04,Osasuna,Barcelona,1,12,1,0.4,1.2,1.1,1,0.9,3.3,0.5,28,0.2,0.8,1.4,-3,13.0,5.86,1.22,0,3,-1
2010-11,2010-12-04,Real Madrid,Valencia,1,2,3,0.8,3.0,1.0,20,0.4,1.3,1.1,2,0.6,1.6,1.6,0,1.36,4.86,8.04,2,0,1
2010-11,2010-12-04,Levante,Ath Madrid,1,21,9,0.3,1.1,1.3,-2,0.4,1.5,1.4,1,0.0,0.0,1.6,-8,4.08,3.53,1.87,2,0,1
2010-11,2010-12-05,Almeria,Zaragoza,1,13,14,0.1,0.7,1.7,-10,0.1,0.9,1.6,-7,0.25,0.75,1.0,-1,2.2,3.26,3.31,1,1,0
2010-11,2010-12-05,Espanol,Sp Gijon,1,11,15,0.6,1.1,1.0,1,0.1,0.7,1.5,-8,0.25,0.75,0.5,1,1.67,3.61,5.26,1,0,1
